Tag,client_id,msg_size,repetitions,worker_count,Throughput_in_MiB/second,bytes_received,delta_us,lib,protocoll
G,1,1024,8192,zmq-1,8.272,837837,96588,zmq,tcp
G,1,1024,8192,zmq-1,8.633,837837,92558,zmq,tcp
G,1,1024,8192,zmq-1,9.034,837837,88450,zmq,tcp
G,1,1024,8192,zmq-1,8.907,837837,89712,zmq,tcp
G,1,1024,8192,zmq-1,8.910,837837,89676,zmq,tcp
G,1,1024,8192,zmq-1,8.881,837837,89965,zmq,tcp
G,1,1024,8192,zmq-1,9.417,911565,92311,zmq,tcp
G,1,2048,8192,zmq-1,18.075,1676493,88455,zmq,tcp
G,1,2048,8192,zmq-1,16.915,1676493,94520,zmq,tcp
G,1,2048,8192,zmq-1,17.092,1676493,93543,zmq,tcp
G,1,2048,8192,zmq-1,17.045,1676493,93800,zmq,tcp
G,1,2048,8192,zmq-1,17.038,1676493,93837,zmq,tcp
G,1,2048,8192,zmq-1,17.260,1676493,92632,zmq,tcp
G,1,2048,8192,zmq-1,17.462,1676493,91563,zmq,tcp
G,1,2048,8192,zmq-1,17.160,1676493,93174,zmq,tcp
G,1,2048,8192,zmq-1,17.458,1676493,91579,zmq,tcp
G,1,2048,8192,zmq-1,19.514,1840333,89941,zmq,tcp
G,1,4096,8192,zmq-1,32.827,3353805,97432,zmq,tcp
G,1,4096,8192,zmq-1,32.347,3353805,98878,zmq,tcp
G,1,4096,8192,zmq-1,32.881,3353805,97274,zmq,tcp
G,1,4096,8192,zmq-1,34.065,3353805,93892,zmq,tcp
G,1,4096,8192,zmq-1,33.059,3353805,96750,zmq,tcp
G,1,4096,8192,zmq-1,34.305,3353805,93236,zmq,tcp
G,1,4096,8192,zmq-1,34.754,3353805,92031,zmq,tcp
G,1,4096,8192,zmq-1,33.676,3353805,94977,zmq,tcp
G,1,4096,8192,zmq-1,33.762,3353805,94735,zmq,tcp
G,1,4096,8192,zmq-1,35.914,3714253,98631,zmq,tcp
G,1,8192,8192,zmq-1,65.834,6708429,97179,zmq,tcp
G,1,8192,8192,zmq-1,62.195,6708429,102864,zmq,tcp
